feature	gene_set
GRK6	WHITFIELD_CELL_CYCLE_G2M
GSE1	WHITFIELD_CELL_CYCLE_G2M
GTSE1	WHITFIELD_CELL_CYCLE_G2M
HCFC1	WHITFIELD_CELL_CYCLE_G2M
HERPUD2	WHITFIELD_CELL_CYCLE_G2M
HMG20B	WHITFIELD_CELL_CYCLE_G2M
HMGB3	WHITFIELD_CELL_CYCLE_G2M
HMMR	WHITFIELD_CELL_CYCLE_G2M
HP1BP3	WHITFIELD_CELL_CYCLE_G2M
HPS4	WHITFIELD_CELL_CYCLE_G2M
HSPA13	WHITFIELD_CELL_CYCLE_G2M
HSPA1L	WHITFIELD_CELL_CYCLE_G2M
HSPA8	WHITFIELD_CELL_CYCLE_G2M
IDI2	WHITFIELD_CELL_CYCLE_G2M
IDO1	WHITFIELD_CELL_CYCLE_G2M
INPP5K	WHITFIELD_CELL_CYCLE_G2M
INSM1	WHITFIELD_CELL_CYCLE_G2M
ITPR1	WHITFIELD_CELL_CYCLE_G2M
JADE2	WHITFIELD_CELL_CYCLE_G2M
JPT1	WHITFIELD_CELL_CYCLE_G2M
KCTD2	WHITFIELD_CELL_CYCLE_G2M
KIF14	WHITFIELD_CELL_CYCLE_G2M
KIF20B	WHITFIELD_CELL_CYCLE_G2M
KIF2C	WHITFIELD_CELL_CYCLE_G2M
